Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,Error,Season,Episode,seriesID
Duplicity,2018,N/A,03 Apr 2018,6 min,"Short, Drama",Bensalem Mitchell,Bensalem Mitchell,"Kate Braithwaite, Sean Lerwill",A seemingly ordinary date proves fleeting as seductions often promise more than they deliver.,English,UK,N/A,https://m.media-amazon.com/images/M/MV5BZGFkYzUxZDUtNDFmYS00Yzg0LWE0ZmMtYjIyZmY0YmU4ZWQ1XkEyXkFqcGdeQXVyNDU1NDEwOQ@@._V1_SX300.jpg,N/A,N/A,N/A,tt7975746,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Super Capers: The Origins of Ed and the Missing Bullion,2008,PG,03 Apr 2008,98 min,"Action, Adventure, Comedy",Ray Griggs,Ray Griggs,"Justin Whalin, Ray Griggs, Danielle Harris",A good guy with no powers joins a superhero team with no clue against a bad guy with no shame.,English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BNDY4NzIyODE4M15BMl5BanBnXkFtZTcwMzkyMzY3MQ@@._V1_SX300.jpg,N/A,3.2,"1,184",tt1161064,movie,N/A,"$30,955",N/A,N/A,True,3.2/10,6%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Knowing,2009,PG-13,20 Mar 2009,121 min,"Mystery, Sci-Fi, Thriller",Alex Proyas,"Ryne Douglas Pearson, Juliet Snowden, Stiles White","Nicolas Cage, Chandler Canterbury, Rose Byrne",M.I.T. professor John Koestler links a mysterious list of numbers from a time capsule to past and future disasters and sets out to prevent the ultimate catastrophe.,English,"United States, United Kingdom, Australia",1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTMyMjgyMDIyM15BMl5BanBnXkFtZTcwNjg3MjAyMg@@._V1_SX300.jpg,41,6.2,"257,521",tt0448011,movie,N/A,"$79,957,634",N/A,N/A,True,6.2/10,35%,41/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Duplicity,2009,PG-13,20 Mar 2009,125 min,"Comedy, Crime, Romance",Tony Gilroy,Tony Gilroy,"Julia Roberts, Clive Owen, Tom Wilkinson",Two corporate spies become embroiled in a clandestine love affair.,"English, Spanish, Russian, German","Germany, United States",1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMjE2MTg2MzU2NF5BMl5BanBnXkFtZTcwMTMyNjkxMg@@._V1_SX300.jpg,69,6.1,"53,429",tt1135487,movie,N/A,"$40,572,825",N/A,N/A,True,6.1/10,65%,69/100,,,,
Skills Like This,2007,Not Rated,20 Mar 2009,88 min,Comedy,Monty Miranda,"Gabriel Tigerman, Spencer Berger","Spencer Berger, Brian D. Phelan, Gabriel Tigerman","Max Solomon faces the awful truth that he will never be a writer. So, in a desperate attempt to find his true calling, he turns to crime. In this inventive comedy, three friends have their lives turned upside down when one of them...",English,United States,5 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTI0NDc3MzMzN15BMl5BanBnXkFtZTcwNjg3MTU1MQ@@._V1_SX300.jpg,44,5.8,521,tt0800205,movie,N/A,"$63,163",N/A,N/A,True,5.8/10,59%,44/100,,,,
Valentino: The Last Emperor,2008,PG-13,08 May 2009,96 min,Documentary,Matt Tyrnauer,N/A,"Valentino Garavani, Giancarlo Giammetti, Nati Abascal",A look at the life of legendary fashion designer Valentino.,"English, Italian, French",United States,2 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTkxMzMwNjY2MV5BMl5BanBnXkFtZTcwNzYzNTU4MQ@@._V1_SX300.jpg,68,7.1,"1,961",tt1176244,movie,N/A,"$1,755,134",N/A,N/A,True,7.1/10,78%,68/100,,,,
The Last House on the Left,1972,R,30 Aug 1972,84 min,"Crime, Horror, Thriller",Wes Craven,"Wes Craven, Ulla Isaksson","Sandra Peabody, Lucy Grantham, David Hess","Two teenage girls heading to a rock concert for one's birthday try to score marijuana in the city, where they are kidnapped and brutalized by a gang of psychopathic convicts.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZGIxYTE2Y2QtODE5OS00YThiLThjMGYtOTI3NmY1ZDFkZThjXkEyXkFqcGc@._V1_SX300.jpg,68,5.8,"41,658",tt0068833,movie,N/A,N/A,N/A,N/A,True,5.8/10,64%,68/100,,,,
The Last House on the Left,2009,R,13 Mar 2009,113 min,"Horror, Thriller",Dennis Iliadis,"Adam Alleca, Carl Ellsworth, Wes Craven","Garret Dillahunt, Monica Potter, Tony Goldwyn","After kidnapping and brutally assaulting two young women, a gang unknowingly finds refuge at a vacation home belonging to the parents of one of the victims: a mother and father who devise an increasingly gruesome series of revenge...",English,"United States, United Kingdom, South Africa",1 win & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMjExMTM4MDAwOF5BMl5BanBnXkFtZTcwODcyMDIzMg@@._V1_SX300.jpg,42,6.5,"105,454",tt0844708,movie,N/A,"$32,752,215",N/A,N/A,True,6.5/10,42%,42/100,,,,
Miss March,2009,R,13 Mar 2009,90 min,"Comedy, Romance","Zach Cregger, Trevor Moore","Zach Cregger, Trevor Moore, Dennis Haggerty","Zach Cregger, Trevor Moore, Raquel Alessi","Awakening from a 4-year coma, a young man finds out that his former high school sweetheart is now a Playboy centerfold model. With his friend in tow, he embarks on a cross-county road trip to the Playboy Mansion in order to win he...","English, Portuguese",United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BMTY0MDg5NzY1N15BMl5BanBnXkFtZTcwMDYyNjUyMg@@._V1_SX300.jpg,7,5.0,"22,570",tt1151922,movie,N/A,"$4,543,320",N/A,N/A,True,5.0/10,5%,7/100,,,,
Watchmen,2001,N/A,N/A,10 min,"Short, Drama",Paloma Baeza,"Paloma Baeza, Cillian Murphy","Cillian Murphy, Barry Ward, Jake Wood",Two bumbling friends find themselves in possession of a mysterious package that lands them in a tricky situation Starring Cillian Murphy and Barry Ward.,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BOTg4ZWE0YjEtNjEyYi00NDhkLThiYTktMjUzZjlkMzUxODNiXkEyXkFqcGdeQXVyNjg2MTI5MzQ@._V1_SX300.jpg,N/A,7.0,240,tt1080861,movie,N/A,N/A,N/A,N/A,True,7.0/10,,,,,,
Watchmen,2009,R,06 Mar 2009,162 min,"Action, Drama, Mystery",Zack Snyder,"Dave Gibbons, David Hayter, Alex Tse","Malin Akerman, Billy Crudup, Matthew Goode","In a version of 1985 where superheroes exist, the murder of a colleague sends active vigilante Rorschach on the trail of a conspiracy that will change the course of history.",English,United States,12 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BYmJiNTUwYWUtZDllNi00ODdjLWFmNTEtOTVlNmYxYTZhNzYzXkEyXkFqcGc@._V1_SX300.jpg,56,7.6,"605,252",tt0409459,movie,N/A,"$107,509,799",N/A,N/A,True,7.6/10,64%,56/100,,,,
12,2010,N/A,24 Jul 2010,3 min,"Short, Comedy",Ryan Silbert,"Ryan Silbert, Bradley Werner","Sarah Babb, Mike Barish, D.C. Benny, John Lavelle","12, is a comic parody about an office's obsession with the television show 24 as the their obsessions kick into high gear with the shows season finale approaching. Part The Office part 24, ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BN2I5YjQxNzQtNTNiZi00NjcxLTk2ZWItYTc3NmNiOGM3YTU1XkEyXkFqcGdeQXVyNTE4NjkzNjM@._V1_SX300.jpg,N/A,N/A,N/A,tt1609921,movie,N/A,N/A,N/A,N/A,True,,,,,,,
12,2009,N/A,01 May 2009,17 min,"Short, Drama",Brooke Lynn Wright,"Ben Matheny, Brooke Lynn Wright","Sydni Bourg, Michael Martin, Michael Martin","After blowing his professional ballet career, John's only way to redeem himself is to concoct the demise of his former partner, Leah, who he blames for his downfall; he rehearses his salvation in his mind in the way that he rehear...",English,United States,N/A,N/A,N/A,N/A,N/A,tt1549821,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Crossing Over,2009,R,26 Feb 2009,113 min,"Crime, Drama",Wayne Kramer,Wayne Kramer,"Harrison Ford, Ashley Judd, Ray Liotta",Crossing Over is about illegal aliens of many nationalities in the Los Angeles area and the authorities and individuals dealing with them.,"English, Korean, Persian, Spanish, Arabic",United States,1 win total,https://m.media-amazon.com/images/M/MV5BMjAyMDQ3ODU4NV5BMl5BanBnXkFtZTcwNzU2MTAzMg@@._V1_SX300.jpg,38,6.7,"25,196",tt0924129,movie,N/A,"$455,654",N/A,N/A,True,6.7/10,15%,38/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Crossing Over,2017,N/A,06 Aug 2017,80 min,Comedy,Mark Haldor,"Ben Bradford, Bhella Candenti, Mark Haldor","Louise Jameson, Karen Sandoval, Andrei Lenart",A frustrated Agent submits eight actors to audition for the next big Hollywood Movie. Potential career breaks for them and a large payday for her. How will they fair against two LA Casting Directors and the movie's unusual premise?,N/A,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BYjRiODI5YjItMDA5OC00MmFhLWIzOTQtNGNlYWZjZjRjZjRlXkEyXkFqcGdeQXVyNDA0MDE4MjM@._V1_SX300.jpg,N/A,3.9,46,tt3954422,movie,N/A,N/A,N/A,N/A,True,3.9/10,,,,,,
Examined Life,2008,Not Rated,20 Nov 2009,87 min,Documentary,Astra Taylor,Astra Taylor,"Kwame Anthony Appiah, Judith Butler, Michael Hardt","In Examined Life, filmmaker Astra Taylor accompanies some of today's most influential thinkers on a series of unique excursions through places and spaces that hold particular resonance for them and their ideas.",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BMjA2Mjc1ODQ5Ml5BMl5BanBnXkFtZTcwMjU5MjQ0Mg@@._V1_SX300.jpg,64,7.0,"1,852",tt1279083,movie,N/A,"$120,712",N/A,N/A,True,7.0/10,77%,64/100,,,,
Madea Goes to Jail,2009,PG-13,20 Feb 2009,103 min,"Comedy, Crime, Drama",Tyler Perry,Tyler Perry,"Tyler Perry, Keshia Knight Pulliam, Derek Luke","Mischievous grandma Madea lands in jail, where she meets a variety of mixed-up characters.",English,United States,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTk1Nzg0MDIxM15BMl5BanBnXkFtZTcwMjk5ODkyMg@@._V1_SX300.jpg,50,4.6,"13,157",tt1142800,movie,N/A,"$90,508,336",N/A,N/A,True,4.6/10,27%,50/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
The International,2009,R,13 Feb 2009,118 min,"Action, Crime, Drama",Tom Tykwer,Eric Warren Singer,"Clive Owen, Naomi Watts, Armin Mueller-Stahl",An Interpol agent attempts to expose a high-profile financial institution's role in an international arms dealing ring.,"English, Italian, French, Danish","United States, Germany, United Kingdom, France, Turkey",1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMjE3Njg5NzY2OV5BMl5BanBnXkFtZTcwMDMxNjEwMg@@._V1_SX300.jpg,52,6.5,"103,019",tt0963178,movie,N/A,"$25,450,527",N/A,N/A,True,6.5/10,57%,52/100,,,,
Friday the 13th,1980,R,09 May 1980,95 min,"Horror, Mystery, Thriller",Sean S. Cunningham,"Victor Miller, Ron Kurz","Betsy Palmer, Adrienne King, Jeannine Taylor","A group of teenage camp counselors attempt to re-open an abandoned summer camp with a tragic past, but they are stalked by a mysterious, relentless killer.",English,United States,6 nominations total,https://m.media-amazon.com/images/M/MV5BNzI1ODZhNDctNTdjOC00Mzg2LTg1ZjktNjJkNjA2YzYxMGQzXkEyXkFqcGc@._V1_SX300.jpg,22,6.4,"171,205",tt0080761,movie,N/A,"$39,754,601",N/A,N/A,True,6.4/10,68%,22/100,,,,
Friday the 13th,2009,R,13 Feb 2009,97 min,"Horror, Mystery, Thriller",Marcus Nispel,"Victor Miller, Damian Shannon, Mark Swift","Jared Padalecki, Amanda Righetti, Derek Mears",A group of young adults visit a boarded up campsite named Crystal Lake where they soon encounter the mysterious Jason Voorhees and his deadly intentions.,"English, Ukrainian",United States,2 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BNTg1YzcwZDgtZmUzYi00NGI0LTlhN2YtNGMxZTI5MDc3ZmMyXkEyXkFqcGc@._V1_SX300.jpg,34,5.5,"122,184",tt0758746,movie,N/A,"$65,002,019",N/A,N/A,True,5.5/10,26%,34/100,,,,
Friday the 13th,1953,N/A,08 May 1953,7 min,"Animation, Short",Mannie Davis,"Tom Morrison, Bob Kuwahara, Paul Terry",Tom Morrison,Percy the Cat informs Little Roquefort the Mouse that it is Friday the 13th and the day will involve a lot of bad luck for Roquefort. Percy then proves his statemnet by making life miserable for the mouse. But Percy breaks a mirro...,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzQ4OTY2NmYtNjZjNy00YzRmLWI0NjYtMjJkOTc4ZDc5NDhiXkEyXkFqcGdeQXVyMDU4MTQ0Ng@@._V1_SX300.jpg,N/A,6.2,22,tt0150644,movie,N/A,N/A,N/A,N/A,True,6.2/10,,,,,,
Two Lovers,2008,R,20 Mar 2009,110 min,"Drama, Romance",James Gray,"James Gray, Ric Menello","Joaquin Phoenix, Gwyneth Paltrow, Vinessa Shaw",A Brooklyn-set romantic drama about a bachelor torn between the family friend his parents wish he would marry and his beautiful but volatile new neighbor.,English,"France, United States",3 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BMTIzNzIzMzc2Ml5BMl5BanBnXkFtZTcwNDE2MjAyMg@@._V1_SX300.jpg,74,7.0,"45,238",tt1103275,movie,N/A,"$3,149,034",N/A,N/A,True,7.0/10,81%,74/100,,,,
Two Lovers,1928,N/A,23 Mar 1928,98 min,"Action, Drama, History",Fred Niblo,"Baroness Emmuska Orczy, Alice D.G. Miller, John Colton","Ronald Colman, Vilma Bánky, Noah Beery","Two Lovers (1928) is a silent feature film directed by Fred Niblo, and produced by Samuel Goldwyn.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOGRhNzFhY2ItODUxYi00NDdlLWEzMWEtNTIxOTZlMjAyYjVhXkEyXkFqcGc@._V1_SX300.jpg,N/A,7.2,41,tt0019501,movie,N/A,N/A,N/A,N/A,True,7.2/10,,,,,,
Under the Sea 3D,2009,G,13 Feb 2009,41 min,"Documentary, Short",Howard Hall,"Howard Hall, Toni Myers, Graeme Ferguson","Jim Carrey, Zozo Kahramana","An underwater look at the diverse coastal regions of Southern Australia, New Guinea and the Indo-Pacific areas and the impact of global warming on the oceans.",English,"United States, Canada",2 nominations total,https://m.media-amazon.com/images/M/MV5BNDllMWIxOTItMGEwMy00NDA4LWIzMTctNzIxMTlhYTdmYzFiXkEyXkFqcGc@._V1_SX300.jpg,77,7.5,"1,973",tt1020876,movie,N/A,"$36,262,926",N/A,N/A,True,7.5/10,94%,77/100,,,,
Push,2006,R,N/A,89 min,Drama,Jason Jennings,Jason Jennings,"Jason Jennings, Brad Holmes, Shawn Farmer, Iwa Wojcik","A young man, on a tumultuous path of self destruction, must fight to overcome his personal demons in search for higher ground.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BODUxMzQ4NjE2OV5BMl5BanBnXkFtZTgwNjY3MzA2MDE@._V1_SX300.jpg,N/A,N/A,N/A,tt1463487,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Coraline,2009,PG,06 Feb 2009,100 min,"Animation, Drama, Family",Henry Selick,"Henry Selick, Neil Gaiman","Dakota Fanning, Teri Hatcher, John Hodgman","Wandering her rambling old house in her boring new town, a young girl discovers a hidden door to a strangely idealized version of her life that seems too good to be true.","English, Russian",United States,Nominated for 1 Oscar. 8 wins & 46 nominations total,https://m.media-amazon.com/images/M/MV5BMzQxNjM5NzkxNV5BMl5BanBnXkFtZTcwMzg5NDMwMg@@._V1_SX300.jpg,80,7.8,"289,299",tt0327597,movie,N/A,"$116,896,576",N/A,N/A,True,7.8/10,91%,80/100,,,,
PUSH,2017,N/A,N/A,11 min,"Short, Drama",Justine Bateman,"Justine Bateman, Holiday Reinhorn","Justine Bateman, Nolan Gross, Nicole Gabriella Scipione","A restless, bored, pregnant woman gives a defiant 12-year old boy a ride home and pushes him over an emotional line he did not know he was crossing that day.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOGJmOTQ4ZTktODQ0Yi00ZjNkLWJjNWQtNGU0ODk3MjYxNDU2XkEyXkFqcGdeQXVyMzMwMDIwMA@@._V1_SX300.jpg,N/A,5.5,14,tt6788398,movie,N/A,N/A,N/A,N/A,True,5.5/10,,,,,,
Push,2006,R,01 Apr 2006,105 min,"Crime, Drama, Thriller",David Rodriguez,"David Rodriguez, Ben Carlin","Chad Lindberg, Charlotte Ayanna, Pierce Forsythe","Drugs, sex, and the allure of fast money blur the boundaries between two very different sides of society.",English,United States,2 wins total,https://m.media-amazon.com/images/M/MV5BOTA2MWEwMzUtN2I2NC00MDUyLThmNGEtMjE0NDFmNWViMzY5XkEyXkFqcGc@._V1_SX300.jpg,N/A,4.4,623,tt0438296,movie,N/A,N/A,N/A,N/A,True,4.4/10,,,,,,
Fanboys,2009,PG-13,13 Feb 2009,90 min,"Adventure, Comedy, Crime",Kyle Newman,"Ernest Cline, Adam F. Goldberg, Dan Pulick","Dan Fogler, Jay Baruchel, Kristen Bell",Star Wars fanatics take a cross-country trip to George Lucas' Skywalker Ranch so their dying friend can see a screening of Star Wars: Episode I - The Phantom Menace (1999) before its release.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTI2MDM0NTY5OF5BMl5BanBnXkFtZTcwODMxMzIwMg@@._V1_SX300.jpg,45,6.5,"61,751",tt0489049,movie,N/A,"$688,529",N/A,N/A,True,6.5/10,33%,45/100,,,,
Push,2009,PG-13,06 Feb 2009,111 min,"Action, Sci-Fi, Thriller",Paul McGuigan,David Bourla,"Camilla Belle, Dakota Fanning, Chris Evans",Two young Americans with special abilities must race to find a girl in Hong Kong before a shadowy government organization called Division does.,"English, Cantonese","United States, Canada",1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMTM2NjE5NTYzMl5BMl5BanBnXkFtZTcwNzc3OTMyMg@@._V1_SX300.jpg,36,6.1,"117,838",tt0465580,movie,N/A,"$31,811,527",N/A,N/A,True,6.1/10,23%,36/100,,,,
He's Just Not That Into You,2009,PG-13,06 Feb 2009,129 min,"Comedy, Drama, Romance",Ken Kwapis,"Abby Kohn, Marc Silverstein, Greg Behrendt","Ginnifer Goodwin, Jennifer Aniston, Jennifer Connelly",This Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.,English,"Germany, United States",1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTY5MTUyNDgwMF5BMl5BanBnXkFtZTcwNzYzMDQyMg@@._V1_SX300.jpg,47,6.4,"187,974",tt1001508,movie,N/A,"$93,953,653",N/A,N/A,True,6.4/10,42%,47/100,,,,
The Pink Panther 2,2009,PG,06 Feb 2009,92 min,"Action, Adventure, Comedy",Harald Zwart,"Scott Neustadter, Michael H. Weber, Steve Martin","Steve Martin, Jean Reno, Emily Mortimer",Insp. Jacques Clouseau teams up with a squad of International detectives who are just as bumbling as he is. Their mission: Stop a globe-trotting thief who specializes in stealing historical artifacts.,"English, French, Spanish, Italian",United States,3 nominations total,https://m.media-amazon.com/images/M/MV5BMTIyOTI2ODY2MF5BMl5BanBnXkFtZTcwMzU2MTYxMg@@._V1_SX300.jpg,36,5.6,"49,719",tt0838232,movie,N/A,"$35,922,978",N/A,N/A,True,5.6/10,13%,36/100,,,,
Push,2024,N/A,N/A,10 min,"Short, Drama",Elly Condron,Elly Condron,"Kat Ronney, Elly Condron",N/A,English,United Kingdom,N/A,N/A,N/A,N/A,N/A,tt32742897,movie,N/A,N/A,N/A,N/A,True,,65%,,,,,
Push,2019,N/A,13 Nov 2019,4 min,"Animation, Short",Trilina Mai,N/A,N/A,A slice of life 2D animated film about the evolving relationship between a grandfather and his grandson.,None,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzU3OGM4ZGUtYTdjZC00NTE0LWI0NGMtN2U0ODNhYzFlMjQwXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,5,tt11282630,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Push,2024,Not Rated,11 Jul 2025,89 min,"Horror, Thriller","David Charbonier, Justin Douglas Powell","David Charbonier, Justin Douglas Powell","Alicia Sanz, Raúl Castillo, David Alexander Flinn",Follows a realtor who must survive a night of terror when a deranged client shows up at her open house.,"English, Spanish",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTNhYWRiZTktYjc1NS00Yjk1LThkOTEtZDFlZmFmZGI5YmFhXkEyXkFqcGc@._V1_SX300.jpg,N/A,4.7,887,tt25756108,movie,N/A,N/A,N/A,N/A,True,4.7/10,65%,,,,,
Our City Dreams,2008,Not Rated,16 Oct 2008,85 min,Documentary,Chiara Clemente,N/A,"Marina Abramovic, Ghada Amer, Caledonia Curry","Filmed over the course of two years, ""Our City Dreams"" is the story of a woman's struggles and successes as an artist in New York City.","English, French, Arabic",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTg3NjIwMTQzMl5BMl5BanBnXkFtZTcwNjE0MDkyMg@@._V1_SX300.jpg,N/A,6.5,115,tt0968760,movie,N/A,"$34,972",N/A,N/A,True,6.5/10,73%,,,,,
New in Town,2009,PG,30 Jan 2009,97 min,"Comedy, Romance",Jonas Elmer,"Ken Rance, C. Jay Cox","Renée Zellweger, Harry Connick Jr., Siobhan Fallon Hogan","A Miami, Florida businesswoman adjusts to her new life in a small Minnesota town.","English, Spanish","United States, Canada",N/A,https://m.media-amazon.com/images/M/MV5BNDQwYWQwMjItNzFkNy00M2FjLWJhMmMtODk0NGIxNzc0ZmMwXkEyXkFqcGc@._V1_SX300.jpg,29,5.7,"25,967",tt1095174,movie,N/A,"$16,734,283",N/A,N/A,True,5.7/10,28%,29/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Between Love & Goodbye,2008,Unrated,30 Jan 2009,97 min,"Drama, Music, Romance",Casper Andreas,Casper Andreas,"Simon Miller, Rob Harmon, Ryan Turner","A modern gay drama about falling in and out of love, and the rocky road in between.","English, French",United States,1 win,https://m.media-amazon.com/images/M/MV5BMjAyMTQ5ODc2MF5BMl5BanBnXkFtZTcwNzg0NzYyMg@@._V1_SX300.jpg,N/A,5.6,"1,301",tt1137437,movie,N/A,"$18,480",N/A,N/A,True,5.6/10,33%,,,,,
The Uninvited,2010,N/A,03 Jun 2010,111 min,Horror,Jonathan Pokay,"Jonathan Pokay, Fred Robey","Meegan Ahn, Peter Esposito, Christopher Meister",A young couple moves into a house and finds it is haunted by a demon.,English,United States,N/A,N/A,N/A,5.7,14,tt1756831,movie,N/A,N/A,N/A,N/A,True,5.7/10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Taken,2008,PG-13,30 Jan 2009,90 min,"Action, Crime, Thriller",Pierre Morel,"Luc Besson, Robert Mark Kamen","Liam Neeson, Maggie Grace, Famke Janssen","A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.","English, French, Albanian, Arabic, Serbian","France, United Kingdom, United States",2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYTAxNTY2NjMtYjk5Yy00Nzg4LTkyMmItYmMzMDM2OWQ1ZGQ3XkEyXkFqcGc@._V1_SX300.jpg,51,7.7,"661,427",tt0936501,movie,N/A,"$145,000,989",N/A,N/A,True,7.7/10,60%,51/100,,,,
